titulo_original,categoria_original,json_llm_bruto,json_limpo_python,nome_canonico_final
2 Unidades Caixa Transporte Para Cães E Gatos Pet Grillo N°2,DOG_CARRIERS_AND_CARRYING_BAGS,"{""marca"": ""Pet Grillo"", ""modelo"": ""n°2"", ""tipo_produto"": ""caixa de transporte"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 unidades"", ""outros_atributos"": ""para cães e gatos""}","{""marca"": ""Pet Grillo"", ""modelo"": ""n°2"", ""tipo_produto"": ""caixa de transporte"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 unidades"", ""outros_atributos"": ""para cães e gatos""}",caixa de transporte | Pet Grillo | n°2 | 2 unidades | para cães e gatos
Ferro De Passar Dimar Elétrico Funcionando Raríssimo  ,IRONS,"{""marca"": ""Dimar"", ""modelo"": null, ""tipo_produto"": ""ferro de passar"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""elétrico, funcionando, raríssimo""}","{""marca"": ""Dimar"", ""modelo"": null, ""tipo_produto"": ""ferro de passar"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""elétrico, funcionando, raríssimo""}","ferro de passar | Dimar | elétrico, funcionando, raríssimo"
Bateria Carregador Celular Samsung Young 2 130,CELLPHONE_BATTERIES,"{""marca"": ""Samsung"", ""modelo"": ""Young 2 130"", ""tipo_produto"": ""bateria"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""carregador celular""}","{""marca"": ""Samsung"", ""modelo"": ""young 2 130"", ""tipo_produto"": ""bateria"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""carregador celular""}",bateria | Samsung | young 2 130 | carregador celular
Vassoura Elétrica Portátil Aspirador Pó Vermelho Philco 220v,ELECTRIC_BROOMS,"{""marca"": ""Philco"", ""modelo"": null, ""tipo_produto"": ""vassoura elétrica"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""portátil, aspirador pó""}","{""marca"": ""Philco"", ""modelo"": null, ""tipo_produto"": ""vassoura elétrica"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""portátil, aspirador pó""}","vassoura elétrica | Philco | 220v | vermelho | portátil, aspirador pó"
Depilador Tipo Laser Yes Finishing Touch Envio Imediato,EPILATORS,"{""marca"": ""Yes Finishing Touch"", ""modelo"": null, ""tipo_produto"": ""depilador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tipo laser, envio imediato""}","{""marca"": ""Yes Finishing Touch"", ""modelo"": null, ""tipo_produto"": ""depilador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tipo laser, envio imediato""}","depilador | Yes Finishing Touch | tipo laser, envio imediato"
Coxim Diant Motor L200 4x4 95/ Mobensani                    ,AUTOMOTIVE_ENGINE_MOUNTS,"{""marca"": ""Mobensani"", ""modelo"": ""L200 4x4"", ""tipo_produto"": ""coxim dianteiro de motor"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 95/""}","{""marca"": ""Mobensani"", ""modelo"": ""l200 4x4"", ""tipo_produto"": ""coxim dianteiro de motor"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 95/""}",coxim dianteiro de motor | Mobensani | l200 4x4 | ano 95/
Álbum De Fotos Floral De Couro Ecol.200 Fotos 10x15 Cm Preto,PHOTO_ALBUMS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""álbum de fotos"", ""capacidade_volume"": ""200 fotos"", ""voltagem"": null, ""cor"": ""preto"", ""material"": ""couro ecológico"", ""quantidade"": null, ""outros_atributos"": ""floral, tamanho 10x15 cm""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""álbum de fotos"", ""capacidade_volume"": ""200 fotos"", ""voltagem"": null, ""cor"": ""preto"", ""material"": ""couro ecológico"", ""quantidade"": null, ""outros_atributos"": ""floral, tamanho 10x15 cm""}","álbum de fotos | 200 fotos | preto | couro ecológico | floral, tamanho 10x15 cm"
Jaqueta Couro Personalizada Motociclista C/ Proteção Casq. M,MOTORCYCLE_JACKETS,"{""marca"": null, ""modelo"": null, ""tipo_produto"": ""jaqueta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""couro"", ""quantidade"": null, ""outros_atributos"": ""personalizada, motociclista, com proteção, tamanho m""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""jaqueta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""couro"", ""quantidade"": null, ""outros_atributos"": ""personalizada, motociclista, com proteção, tamanho m""}","jaqueta | couro | personalizada, motociclista, com proteção, tamanho m"
Café  Poesia Torrado Em Grão 1 Kg   ............  Exportação,GROUND_AND_WHOLE_BEANS_COFFEE,"{""marca"": ""Poesia"", ""modelo"": null, ""tipo_produto"": ""café"", ""capacidade_volume"": ""1kg"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""torrado em grão, exportação""}","{""marca"": ""Poesia"", ""modelo"": null, ""tipo_produto"": ""café"", ""capacidade_volume"": ""1kg"", ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""torrado em grão, exportação""}","café | Poesia | 1kg | torrado em grão, exportação"
Tampa Traseira Passat 2010,AUTOMOTIVE_TRUNK_LIDS,"{""marca"": ""Volkswagen"", ""modelo"": ""Passat 2010"", ""tipo_produto"": ""tampa traseira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 2010""}","{""marca"": ""Volkswagen"", ""modelo"": ""passat 2010"", ""tipo_produto"": ""tampa traseira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""ano 2010""}",tampa traseira | Volkswagen | passat 2010 | ano 2010
