titulo_original,titulo_pre_norm,categoria_original,json_llm_bruto,json_limpo_python,nome_canonico_final
2 Unidades Caixa Transporte Para Cães E Gatos Pet Grillo N°2,2 Unidades Caixa Transporte Para Cães E Gatos Pet Grillo N°2,DOG_CARRIERS_AND_CARRYING_BAGS,"{""idx"": 0, ""marca"": ""Pet Grillo"", ""modelo"": ""n°2"", ""tipo_produto"": ""caixa de transporte"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 unidades"", ""outros_atributos"": ""para cães e gatos""}","{""marca"": ""Pet Grillo"", ""modelo"": ""n°2"", ""tipo_produto"": ""caixa de transporte"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""2 unidades"", ""outros_atributos"": ""para cães e gatos""}",caixa de transporte | Pet Grillo | n°2 | 2 unidades | para cães e gatos
Ferro De Passar Dimar Elétrico Funcionando Raríssimo  ,Ferro De Passar Dimar Elétrico Funcionando Raríssimo,IRONS,"{""idx"": 1, ""marca"": ""Dimar"", ""modelo"": null, ""tipo_produto"": ""ferro de passar"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""elétrico, raríssimo""}","{""marca"": ""Dimar"", ""modelo"": null, ""tipo_produto"": ""ferro de passar"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""elétrico, raríssimo""}","ferro de passar | Dimar | elétrico, raríssimo"
Bateria Carregador Celular Samsung Young 2 130,Bateria Carregador Celular Samsung Young 2 130,CELLPHONE_BATTERIES,"{""idx"": 2, ""marca"": ""Samsung"", ""modelo"": ""young 2 130"", ""tipo_produto"": ""bateria"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""carregador""}","{""marca"": ""Samsung"", ""modelo"": ""young 2 130"", ""tipo_produto"": ""bateria"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""carregador""}",bateria | Samsung | young 2 130 | carregador
Vassoura Elétrica Portátil Aspirador Pó Vermelho Philco 220v,Vassoura Elétrica Portátil Aspirador Pó Vermelho Philco 220v,ELECTRIC_BROOMS,"{""idx"": 3, ""marca"": ""Philco"", ""modelo"": null, ""tipo_produto"": ""vassoura elétrica"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""portátil, aspirador de pó""}","{""marca"": ""Philco"", ""modelo"": null, ""tipo_produto"": ""vassoura elétrica"", ""capacidade_volume"": null, ""voltagem"": ""220v"", ""cor"": ""vermelho"", ""material"": null, ""quantidade"": null, ""outros_atributos"": ""portátil, aspirador de pó""}","vassoura elétrica | Philco | 220v | vermelho | portátil, aspirador de pó"
Depilador Tipo Laser Yes Finishing Touch Envio Imediato,Depilador Tipo Laser Yes Finishing Touch Envio Imediato,EPILATORS,"{""idx"": 4, ""marca"": ""Yes Finishing Touch"", ""modelo"": null, ""tipo_produto"": ""depilador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tipo laser""}","{""marca"": ""Yes Finishing Touch"", ""modelo"": null, ""tipo_produto"": ""depilador"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""tipo laser""}",depilador | Yes Finishing Touch | tipo laser
Coxim Diant Motor L200 4x4 95/ Mobensani                    ,Coxim Diant Motor L200 4x4 95/ Mobensani,AUTOMOTIVE_ENGINE_MOUNTS,"{""idx"": 5, ""marca"": ""Mobensani"", ""modelo"": ""L200 4x4 95/"", ""tipo_produto"": ""coxim de motor"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteiro""}","{""marca"": ""Mobensani"", ""modelo"": ""l200 4x4 95/"", ""tipo_produto"": ""coxim de motor"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": ""dianteiro""}",coxim de motor | Mobensani | l200 4x4 95/ | dianteiro
Álbum De Fotos Floral De Couro Ecol.200 Fotos 10x15 Cm Preto,Álbum De Fotos Floral De Couro Ecol.200 Fotos 10x15 Cm Preto,PHOTO_ALBUMS,"{""idx"": 6, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""álbum de fotos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": ""couro ecológico"", ""quantidade"": ""200 fotos"", ""outros_atributos"": ""floral, tamanho 10x15 cm""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""álbum de fotos"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": ""preto"", ""material"": ""couro ecológico"", ""quantidade"": ""200 fotos"", ""outros_atributos"": ""floral, tamanho 10x15 cm""}","álbum de fotos | preto | couro ecológico | 200 fotos | floral, tamanho 10x15 cm"
Jaqueta Couro Personalizada Motociclista C/ Proteção Casq. M,Jaqueta Couro Personalizada Motociclista C/ Proteção Casq. M,MOTORCYCLE_JACKETS,"{""idx"": 7, ""marca"": null, ""modelo"": null, ""tipo_produto"": ""jaqueta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""couro"", ""quantidade"": null, ""outros_atributos"": ""personalizada, motociclista, com proteção, tamanho m""}","{""marca"": null, ""modelo"": null, ""tipo_produto"": ""jaqueta"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": ""couro"", ""quantidade"": null, ""outros_atributos"": ""personalizada, motociclista, com proteção, tamanho m""}","jaqueta | couro | personalizada, motociclista, com proteção, tamanho m"
Café  Poesia Torrado Em Grão 1 Kg   ............  Exportação,Café Poesia Torrado Em Grão 1 Kg ............ Exportação,GROUND_AND_WHOLE_BEANS_COFFEE,"{""idx"": 8, ""marca"": ""Poesia"", ""modelo"": null, ""tipo_produto"": ""café"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1kg"", ""outros_atributos"": ""torrado em grão, exportação""}","{""marca"": ""Poesia"", ""modelo"": null, ""tipo_produto"": ""café"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": ""1kg"", ""outros_atributos"": ""torrado em grão, exportação""}","café | Poesia | 1kg | torrado em grão, exportação"
Tampa Traseira Passat 2010,Tampa Traseira Passat 2010,AUTOMOTIVE_TRUNK_LIDS,"{""idx"": 9, ""marca"": ""Volkswagen"", ""modelo"": ""Passat 2010"", ""tipo_produto"": ""tampa traseira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}","{""marca"": ""Volkswagen"", ""modelo"": ""passat 2010"", ""tipo_produto"": ""tampa traseira"", ""capacidade_volume"": null, ""voltagem"": null, ""cor"": null, ""material"": null, ""quantidade"": null, ""outros_atributos"": null}",tampa traseira | Volkswagen | passat 2010
